xstorycloze_lang	goldfish_used	goldfish	mala500	xglm4b5	xglm7b5	bloom7b1
ar	arb_arab	0.5023	0.4858	0.5367	0.5619	0.5857
en	eng_latn	0.5467	0.7419	0.6909	0.6982	0.7055
es	spa_latn	0.5175	0.6506	0.6274	0.64	0.6612
eu	eus_latn	0.5354	0.5281	0.5367	0.5771	0.5718
hi	hin_deva	0.5381	0.5341	0.5692	0.5877	0.6042
id	ind_latn	0.5321	0.6049	0.6049	0.63	0.6459
my	mya_mymr	0.5156	0.5036	0.5076	0.5711	0.4897
ru	rus_cyrl	0.5381	0.6049	0.6267	0.6347	0.5275
sw	swa_latn	0.5321	0.5268	0.55	0.593	0.5394
te	tel_telu	0.5447	0.548	0.5705	0.6023	0.5731
zh	zho_hans	0.4944	0.5844	0.5817	0.589	0.6188